"","Mix id","RGD LLH","G LLH","I LLH","DG LLH","RG LLH","RGD MSE","G MSE","I MSE","DG MSE","RG MSE","RGD CRPS","G CRPS","I CRPS","DG CRPS","RG CRPS"
"1",1,227.738925517131,1821.76604685013,512.187568414061,1692.80116555562,1142.01433505771,5651.74415305548,132766.10290609,1260.52409685993,7303.74429891852,123516.379814322,1092.95903507431,6422.70171900757,612.010741624162,1484.74933860094,6216.21959200733
"2",5,373.332696078822,Inf,1238.18665028869,431.966757527838,Inf,3141.04404343309,18104.6760245795,3082.08973700503,3120.27721644373,15332.9397310694,1021.81685532189,2856.92274338681,1083.41091111638,982.310339522163,2544.52508475691
"3",10,2160.45942680015,Inf,Inf,Inf,Inf,33611.3100826409,7448.32274707746,42255.6263562423,25310.1906129249,8595.38395569939,3691.94814991255,1478.17263345313,4444.20655404942,2784.87083519937,1890.25907722788
"4",12,413.515419495103,600.051892535477,1546.60430433032,1283.57460684796,443.417332911012,5667.0781116922,141595.551022679,4687.23711475759,7715.68043828589,141354.427696079,1251.93585344911,5780.12900170013,1250.89721415223,1566.24974243896,5693.34611839913
"5",20,213.571731296639,2365.12391845269,894.012890427305,Inf,686.597417547047,2383.62685729214,122653.045005706,2995.266488775,6144.62419331359,110721.095937274,742.806856491904,5721.48491183315,1007.30752266921,1423.51331528965,5511.44367707605
"6",25,760.980274386432,Inf,Inf,2703.5825688879,Inf,12594.0159283949,21318.0087162534,18547.5579551926,7260.49644679945,23286.6573018198,2198.21142557778,2466.29761339559,3078.11205673141,1422.99165991939,2840.99274009924
"7",29,222.254704427189,Inf,4462.49890761613,Inf,1119.33313189885,5051.92833662892,25211.2802372956,10108.5587029655,12235.7946287043,25641.05851561,1003.11721601903,3164.49810576392,1669.71252746932,2168.70979682966,2655.80390717037
"8",30,985.810501688797,Inf,Inf,3428.35020735326,Inf,20480.7370382612,23237.3391358809,24775.2171409184,12989.9828838459,23647.7831780163,2721.75730421577,2640.09432011373,3375.69294392174,1853.30919331159,2885.92166230272
"9",31,1439.56632406622,Inf,7573.49793117315,2427.25963885936,5816.55697331556,14645.3584605263,8895.60237013,15161.8782732896,8934.24357871054,8374.53443680769,2523.63924409578,1555.74210817894,2721.23621126089,1708.92983652286,1781.01113823109
"10",32,889.06164997155,Inf,Inf,1583.18652298862,Inf,7667.36703642917,16684.7214206755,7638.2828631884,5472.96584139953,14722.197519627,1636.11718509563,2291.08510088014,1729.68444627913,1278.74859720566,2209.51260996093
"11",43,200.52869174968,1577.89490460337,951.754495151073,Inf,885.764702989352,1658.48325332488,97369.1165239615,2332.43645868329,3691.58762056121,83443.6458218224,556.218087080094,4859.86022667709,919.557485297727,989.672202805738,4596.20611700843
"12",45,571.791408113612,Inf,7410.85952484041,943.550155898886,8170.3015317519,10001.3939113691,9432.04787835866,14909.1213869602,5078.99663518178,11944.4680753208,1997.5073720772,1652.83972500637,2758.33592154695,1226.88514098444,2149.36736463494
"13",50,644.583879333304,2397.25502834044,4521.47357341294,641.177302378867,5250.76458302212,6438.87761353229,5300.54243596505,9210.60768680756,4856.97522521158,9150.27917195241,1599.79897825955,1335.68558503279,2085.38085502182,1208.83891003336,1873.75839651886
"14",52,633.234349405296,1191.57546296843,2525.69524828366,Inf,562.464920720655,9173.18518423996,129641.164868485,7346.24891351082,11109.3074118352,133406.275587591,1747.66527550635,6590.50927764938,1662.26956586161,2067.79408023043,6414.8855966912
"15",55,326.60797181817,2779.34200394426,1843.2503498752,2065.82498355037,1887.63805187883,12100.3337270984,159521.150963488,4099.83520410073,18598.4573252583,149175.475171686,1824.28498762234,7109.6529002107,1231.29880119549,2443.00841174128,6938.13219068894
"16",57,276.861240661442,Inf,1530.66754888529,Inf,805.268425143451,5320.84536999797,125241.119916902,4720.74455925076,10171.5127414568,111480.710985423,1116.91194935933,5709.25878496778,1232.94944574461,1817.04139696788,5398.49305577454
"17",62,266.603196908734,267.958366444314,2635.54663547732,205.561006424602,338.641240292287,3450.8166502123,64594.2964310632,6552.62839586406,1553.64851897713,58535.4811299985,989.547285458579,3432.15567860415,1693.10469936979,557.089210502,3750.03281306574
